Game Results:

TOKEN	TAG	GUESS
QUERIES
-------------
Westlake	PER	O	5
,	O	O	0
arrested	O	O	0
in	O	O	0
December	O	O	1
1993	O	O	0
and	O	O	0
charged	O	O	0
with	O	O	0
heroin	O	O	1
trafficking	O	O	0
,	O	O	0
sawed	O	O	0
the	O	O	0
iron	O	O	0
grill	O	O	0
off	O	O	0
his	O	O	0
cell	O	O	0
window	O	O	0
and	O	O	0
climbed	O	O	0
down	O	O	0
the	O	O	0
prison	O	O	0
's	O	O	0
five-metre	O	O	0
(	O	O	0
15-foot	O	O	0
)	O	O	0
wall	O	O	0
on	O	O	0
a	O	O	0
rope	O	O	0
made	O	O	0
from	O	O	0
bed	O	O	0
sheets	O	O	0
,	O	O	1
Vivit	O	PER	3
said	O	O	0
.	O	O	0

Game History:

-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 0
Current in-flight queries: 
-----------
Move choice:
Making job posting
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
