Game Results:

TOKEN	TAG	GUESS
QUERIES
-------------
Westlake	PER	O	5
,	O	O	1
arrested	O	O	0
in	O	O	0
December	O	O	0
1993	O	O	0
and	O	O	0
charged	O	O	0
with	O	O	0
heroin	O	O	0
trafficking	O	O	0
,	O	O	0
sawed	O	O	0
the	O	O	0
iron	O	O	0
grill	O	O	0
off	O	O	1
his	O	O	0
cell	O	O	0
window	O	O	0
and	O	O	0
climbed	O	O	0
down	O	O	0
the	O	O	0
prison	O	O	0
's	O	O	0
five-metre	O	O	0
(	O	O	0
15-foot	O	O	0
)	O	O	0
wall	O	O	0
on	O	O	0
a	O	O	0
rope	O	O	0
made	O	O	0
from	O	O	0
bed	O	O	0
sheets	O	O	0
,	O	O	1
Vivit	O	PER	3
said	O	O	0
.	O	O	0

Game History:

-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.199,LOC=0.148,ORG=0.033,O=0.620]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.010,LOC=0.009,ORG=0.002,O=0.980]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
